Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
41296554,Flora and Fauna of the Discworld,Jesse Russell,"Russell, Jesse","Ronald Cohn, Jesse Russell","=""5510781890""","=""9785510781892""",0,0.0,Book on Demand Ltd.,Paperback,142,2013,,,2021/03/13,to-read,to-read (#498),to-read,,,,0,,,0,,,,,
33884014,"Discworld - Individuals by Occupation: Assassins, Beggars, Generals, Heroes, Inventors, Landlords and Landladies, Merchants, Politicians, Priests, Slaves, Warriors, Watchmen, Witches, Wizards, Havelock Vetinari, Mericet, Pteppic, Blind Hugh, General Tacti",Source Wikia,"Wikia, Source",,"=""1234827514""","=""9781234827519""",0,0.0,"Books LLC, Wiki Series",Paperback,,2011,,,2021/03/13,to-read,to-read (#497),to-read,,,,0,,,0,,,,,
33883747,"Ficspecies - Fantasy: Avatar: The Last Airbender, Bas-Lag, Cthulhu Mythos, Discworld, Dungeons & Dragons, Everquest, Harry Potter, Hellboy,",Source Wikia,"Wikia, Source",,"=""1234824019""","=""9781234824013""",0,0.0,"Books LLC, Wiki Series",Paperback,,2011,,,2021/03/13,to-read,to-read (#496),to-read,,,,0,,,0,,,,,
9482224,"Discworld Peoples: Flora and Fauna of the Discworld, Undead, Dwarfs, Troll, Nac Mac Feegle, Golems, Elves",Source Wikipedia,"Wikipedia, Source",,"=""1155527461""","=""9781155527468""",0,1.00,"Books LLC, Wiki Series",Paperback,,2011,,,2021/03/13,to-read,to-read (#495),to-read,,,,0,,,0,,,,,
41293518,Discworld Gods,Jesse Russell,"Russell, Jesse","Ronald Cohn, Jesse Russell","=""5510728329""","=""9785510728323""",0,0.0,Book on Demand Ltd.,Paperback,98,2013,,,2021/03/13,to-read,to-read (#494),to-read,,,,0,,,0,,,,,
33884021,"Discworld - Discworld Universe: Animals, Communications, Cuisine, Culture, Deities, Festivals and Ceremonies, Individuals, Languages, Locations, Magic",Source Wikia,"Wikia, Source",,"=""123482762X""","=""9781234827625""",0,0.0,"Books LLC, Wiki Series",Paperback,,2011,,,2021/03/13,to-read,to-read (#493),to-read,,,,0,,,0,,,,,
44670263,"Focus On: 100 Most Popular Metafictional Novels: The Handmaid's Tale, The Great Gatsby, The Man in the High Castle, Don Quixote, Lolita, Fahrenheit 451, ... Travels, Life of Pi, Discworld, etc.",Wikipedia Contributors,"Contributors, Wikipedia",,"=""""","=""""",0,0.0,Focus On,Kindle Edition,1197,2018,,,2021/03/13,to-read,to-read (#492),to-read,,,,0,,,0,,,,,
41292726,Discworld Geography,Jesse Russell,"Russell, Jesse","Ronald Cohn, Jesse Russell","=""5510704381""","=""9785510704389""",0,1.00,Book on Demand Ltd.,Paperback,144,2013,,,2021/03/13,to-read,to-read (#491),to-read,,,,0,,,0,,,,,
9688086,"Europe-Exclusive Video Games: Survivor, Discworld Noir, Seymour Goes to Hollywood, the Truth about 9th Company",Books LLC,"LLC, Books",,"=""1156745675""","=""9781156745670""",0,0.0,"Books LLC, Wiki Series",Paperback,74,2011,2011,,2021/03/13,to-read,to-read (#490),to-read,,,,0,,,0,,,,,
41308862,Religions of the Discworld,Jesse Russell,"Russell, Jesse",Ronald Cohn,"=""5511044180""","=""9785511044187""",0,1.00,Book on Demand Ltd.,Paperback,170,2013,,,2021/03/13,to-read,to-read (#489),to-read,,,,0,,,0,,,,,
33925127,Death (Discworld),Jesse Russell,"Russell, Jesse",Ronald Cohn,"=""5511045268""","=""9785511045269""",0,1.00,Book on Demand Ltd.,Paperback,,2012,2012,,2021/03/13,to-read,to-read (#488),to-read,,,,0,,,0,,,,,
3610221,NOT A BOOK Calendar 2007: n/a: Discworld Calendar (Gollancz S.F.),,,,"=""0575079274""","=""9780575079274""",0,5.00,,,,,,,2021/03/13,to-read,to-read (#487),to-read,,,,0,,,0,,,,,
33766593,"Discworld - Males: A. Dinwiddie, Albert, B.S. Johnson, Black Zenell, Blind Hugh, Bloody Stupid Johnson, Bravd, Buckleby, Captain Swing, Carrot Ironfoundersson, Cohen, Coin, Cut-Me-Own-Throat Dibbler, Detritus, Dios, Fred Colon, General Tacticus, Goldeneye",Source Wikia,"Wikia, Source",,"=""1234751429""","=""9781234751425""",0,0.0,"Books LLC, Wiki Series",Paperback,,2011,,,2021/03/13,to-read,to-read (#486),to-read,,,,0,,,0,,,,,
33884017,"Discworld - Locations: Agatean Empire Locations, Ankh-Morpork, Ankh-Morpork Locations, Bodies of Water, Businesses, Cities, Continents, Countries, Deserts, Extinct Continents, Farms, Geography, Mountains, Other Dimensions, Places, Places of Interest, Pubs",Source Wikia,"Wikia, Source",,"=""1234827581""","=""9781234827588""",0,0.0,"Books LLC, Wiki Series",Paperback,,2011,,,2021/03/13,to-read,to-read (#485),to-read,,,,0,,,0,,,,,
1642272,Discworld 2,Pcs,"Pcs, Pcs",,"=""076150897X""","=""9780761508977""",0,1.00,Prima Publishing,Paperback,,,,,2021/03/13,to-read,to-read (#484),to-read,,,,0,,,0,,,,,
33346641,The Intertextuality of Terry Pratchettas Discworld as a Major Challenge for the Translator,Aleksander Rzyman,"Rzyman, Aleksander",,"=""1443817287""","=""9781443817288""",0,1.00,Cambridge Scholars Publishing,Hardcover,,2017,,,2021/03/13,to-read,to-read (#483),to-read,,,,0,,,0,,,,,
20293279,"Discworld - Novels (Book Guide): City Watch Series, Death Series, Individuals Books, Moist Von Lipwig Series, Rincewind Series, Tiffany Aching Series, Witches Series, Feet of Clay, Guards! Guards!, Jingo, Men at Arms, Night Watch",Source Wikia,"Wikia, Source",,"=""1230855289""","=""9781230855288""",0,0.0,University-Press.Org,Paperback,68,2013,2013,,2021/03/13,to-read,to-read (#482),to-read,,,,0,,,0,,,,,
9672259,"Discworld: Discworld Books, Discworld Characters, Discworld Films and TV Series, Discworld Games, Discworld Locations, Discworld Organisations",Source Wikipedia,"Wikipedia, Source",,"=""1156441773""","=""9781156441770""",0,1.00,"Books LLC, Wiki Series",Paperback,,2011,,,2021/03/13,to-read,to-read (#481),to-read,,,,0,,,0,,,,,
38743972,"Focus On: 100 Most Popular Fantasy Novel Series: Harry Potter, A Song of Ice and Fire, The Wheel of Time, Discworld, Mistborn Series, Twilight (novel series), ... of Glass, Dirk Gently, Artemis Fowl, etc.",Wikipedia Contributors,"Contributors, Wikipedia",,"=""""","=""""",0,0.0,Focus On,Kindle Edition,1389,2018,,,2021/03/13,to-read,to-read (#480),to-read,,,,0,,,0,,,,,
10490205,"Discworld Organisations: Ankh-Morpork City Watch, Ankh-Morpork Assassins' Guild, Guilds of Ankh-Morpork, Religions of the Discworld",Source Wikipedia,"Wikipedia, Source",,"=""1155527453""","=""9781155527451""",0,0.0,"Books LLC, Wiki Series",Paperback,,2011,,,2021/03/13,to-read,to-read (#479),to-read,,,,0,,,0,,,,,
12281931,"Mundos de Fantasia: A Song of Ice and Fire, Barsoom, Cenario de Campanha, Cenario de Campanha de Dungeons & Dragons, Conan, Discworld, Dune",Source Wikipedia,"Wikipedia, Source",,"=""1231548029""","=""9781231548028""",0,0.0,"Books LLC, Wiki Series",Paperback,174,2011,2011,,2021/03/13,to-read,to-read (#478),to-read,,,,0,,,0,,,,,
16656675,Discworld Characters,Jesse Russell,"Russell, Jesse",Ronald Cohn,"=""5513113678""","=""9785513113676""",0,1.00,Book on Demand Ltd.,Paperback,158,2013,2012,,2021/03/13,to-read,to-read (#477),to-read,,,,0,,,0,,,,,
20293278,"Discworld - Books (Book Guide): Discworld Mapp Series, Graphic Novels, Novels, a Tourist Guide to Lancre, Death's Domain, Discworld, Discworld Diary,",Source Wikia,"Wikia, Source",,"=""1230855270""","=""9781230855271""",0,3.00,University-Press.Org,Paperback,50,2013,2013,,2021/03/13,to-read,to-read (#476),to-read,,,,0,,,0,,,,,
33873952,Discworld RPG,Chester Poole,"Poole, Chester",,"=""""","=""""",0,0.0,,Kindle Edition,,2017,,,2021/03/13,to-read,to-read (#475),to-read,,,,0,,,0,,,,,
33572344,Lesson Plans The Last Continent: A Discworld Novel,BookRags,"BookRags, BookRags",,"=""""","=""""",0,1.00,,Kindle Edition,279,2012,,,2021/03/13,to-read,to-read (#474),to-read,,,,0,,,0,,,,,
1642222,Discworld: Official Strategy Guide,Glen Edridge,"Edridge, Glen",,"=""0552144398""","=""9780552144391""",0,1.00,Corgi,Paperback,142,1995,1995,,2021/03/13,to-read,to-read (#473),to-read,,,,0,,,0,,,,,
11577131,"Mud Servers: Abermud, Moo, Ragnarok, Dikumud, Lpmud, Tinymud, Circlemud, Godwars, Discworld Mudlib, Coffeemud, Coolmud, ROM, Tigermud, Coldmud",Books LLC,"LLC, Books",,"=""1156972493""","=""9781156972496""",0,5.00,Books LLC,Paperback,86,2010,2010,,2021/03/13,to-read,to-read (#472),to-read,,,,0,,,0,,,,,
9751440,"Scheibenwelt: Figuren Und Schauplatze Der Scheibenwelt-Romane, Einfach Gottlich, Schweinsgalopp, Weiberregiment, Discworld Noir",Books LLC,"LLC, Books",,"=""1159310335""","=""9781159310332""",0,5.00,"Books LLC, Wiki Series",Paperback,36,2011,2010,,2021/03/13,to-read,to-read (#471),to-read,,,,0,,,0,,,,,
30076992,Discworld Reading Order,Stephanie Monk,"Monk, Stephanie",,"=""""","=""""",0,4.67,Monkhaus,Kindle Edition,7,2016,,,2021/03/13,to-read,to-read (#470),to-read,,,,0,,,0,,,,,
10553297,Discworld Locations: Discworld Geography,Books LLC,"LLC, Books",,"=""1156441781""","=""9781156441787""",0,1.00,General Books LLC,Paperback,88,2011,2010,,2021/03/13,to-read,to-read (#469),to-read,,,,0,,,0,,,,,
7590888,Discworld Characters,Frederic P.  Miller,"Miller, Frederic P.","Agnes F. Vandome, John McBrewster","=""6130066961""","=""9786130066963""",0,1.00,Alphascript Publishing,Paperback,70,2009,2009,,2021/03/13,to-read,to-read (#468),to-read,,,,0,,,0,,,,,
9528726,Discworld Short Stories,Books LLC,"LLC, Books",,"=""1158371217""","=""9781158371211""",0,3.00,General Books LLC,Paperback,24,2010,2010,,2021/03/13,to-read,to-read (#467),to-read,,,,0,,,0,,,,,
175788,The Josh Kirby Discworld Portfolio,Josh Kirby,"Kirby, Josh",,"=""1855858959""","=""9781855858954""",0,3.93,Sterling,Paperback,64,2001,2001,,2021/03/13,to-read,to-read (#466),to-read,,,,0,,,0,,,,,
26113820,Discworld and Philosophy: Reality Is Not What It Seems,Nicolas Michaud,"Michaud, Nicolas",,"=""081269919X""","=""9780812699197""",0,3.09,Open Court,Paperback,288,2016,2016,,2021/03/13,to-read,to-read (#465),to-read,,,,0,,,0,,,,,
37904430,Pratchett's Women: Unauthorised Essays on Female Characters of the Discworld,Tansy Rayner Roberts,"Roberts, Tansy Rayner",,"=""""","=""""",0,3.92,,Kindle Edition,108,2018,2014,,2021/03/13,to-read,to-read (#464),to-read,,,,0,,,0,,,,,
2355355,The Turtle Moves!: Discworld's Story Unauthorized,Lawrence Watt-Evans,"Watt-Evans, Lawrence",,"=""1933771461""","=""9781933771465""",0,3.73,BenBella Books,Paperback,284,2008,2008,,2021/03/13,to-read,to-read (#463),to-read,,,,0,,,0,,,,,
